City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chokurdakh,RU,70.6333,147.9167,-48.71,100,67,2.35,broken clouds
1,Mbarara,UG,-0.608,30.65,64.94,89,94,2.93,light rain
2,Esperance,AU,-33.8667,121.9,58.84,76,0,12.5,clear sky
3,Dingtao,CN,35.0683,115.5625,46.11,83,100,5.06,overcast clouds
4,Hermanus,ZA,-34.4187,19.2345,70.9,68,86,20.65,overcast clouds
5,Bluff,NZ,-46.6,168.3333,44.8,65,7,6.15,clear sky
6,Ponta Do Sol,PT,32.6667,-17.1,66.83,59,24,7.18,few clouds
7,Busselton,AU,-33.65,115.3333,56.08,83,49,12.19,scattered clouds
8,New Norfolk,AU,-42.7826,147.0587,49.71,62,90,1.23,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,60.46,48,40,10.36,scattered clouds
10,Pangnirtung,CA,66.1451,-65.7125,-2.2,84,75,2.3,broken clouds
11,Hasaki,JP,35.7333,140.8333,39.6,63,7,7.52,clear sky
12,Tias,ES,28.9611,-13.645,65.95,64,40,17.27,scattered clouds
13,Buzmeyin,TM,38.0507,58.2056,44.33,87,1,2.3,clear sky
14,Avarua,CK,-21.2078,-159.775,73.45,94,99,3.44,overcast clouds
15,Torbay,CA,47.6666,-52.7314,32.29,86,90,10.36,light shower snow
16,Rikitea,PF,-23.1203,-134.9692,75.27,73,100,13.8,overcast clouds
17,Lagoa,PT,39.05,-27.9833,64.09,84,99,18.39,overcast clouds
18,Whitehorse,CA,60.7161,-135.0538,11.17,84,90,8.99,light snow
19,Samarai,PG,-10.6167,150.6667,81.1,80,97,11.45,overcast clouds
20,Vrangel,RU,42.7297,133.0839,35.73,69,68,9.37,broken clouds
21,Castro,BR,-24.7911,-50.0119,83.5,32,75,6.2,broken clouds
22,Saskylakh,RU,71.9167,114.0833,-40.92,100,100,3.04,overcast clouds
23,Hobart,AU,-42.8794,147.3294,50.05,77,90,0.0,overcast clouds
24,Katsuura,JP,35.1333,140.3,50.11,68,4,7.18,clear sky
25,Erzin,TR,36.9559,36.2,55.92,63,2,9.1,clear sky
26,Harper,LR,4.375,-7.7169,83.08,72,96,11.05,overcast clouds
27,Bengkulu,ID,-3.8004,102.2655,76.55,88,96,3.6,light rain
28,Puerto Ayora,EC,-0.7393,-90.3518,78.76,91,100,7.72,overcast clouds
29,Lorengau,PG,-2.0226,147.2712,81.86,85,100,12.82,overcast clouds
30,Poum,NC,-20.2333,164.0167,81.68,78,100,14.72,overcast clouds
31,Klaksvik,FO,62.2266,-6.589,45.52,75,100,22.39,overcast clouds
32,Georgetown,MY,5.4112,100.3354,82.89,76,20,1.01,thunderstorm
33,Lavrentiya,RU,65.5833,-171.0,-13.36,83,94,8.16,overcast clouds
34,Kewanee,US,41.2456,-89.9248,36.48,61,99,22.35,overcast clouds
35,Gigmoto,PH,13.7796,124.39,78.8,90,100,14.74,light rain
36,Jamestown,US,42.097,-79.2353,62.71,87,90,8.99,overcast clouds
37,Tottori,JP,35.5,134.2333,52.88,82,79,7.9,broken clouds
38,Villa Carlos Paz,AR,-31.4241,-64.4978,82.26,55,34,4.0,scattered clouds
39,Port Alfred,ZA,-33.5906,26.891,70.72,86,48,6.11,light rain
40,Rockland,US,41.1668,-74.0496,59.59,95,100,10.74,overcast clouds
41,Mataura,NZ,-46.1927,168.8643,44.47,81,28,1.48,scattered clouds
42,Punta Arenas,CL,-53.15,-70.9167,55.42,71,75,6.91,broken clouds
43,Kapaa,US,22.0752,-159.319,75.52,80,40,14.97,scattered clouds
44,Ambovombe,MG,-25.1667,46.0833,77.88,75,47,13.02,scattered clouds
45,Ribeira Grande,PT,38.5167,-28.7,66.6,82,40,18.41,scattered clouds
46,Isangel,VU,-19.55,169.2667,79.27,87,99,6.98,overcast clouds
47,Bethel,US,41.3712,-73.414,57.09,93,90,1.01,mist
48,Taltal,CL,-25.4,-70.4833,66.78,67,2,8.61,clear sky
49,Vaini,TO,-21.2,-175.2,75.36,100,20,3.44,light rain
50,Mahajanga,MG,-15.7167,46.3167,84.22,65,20,9.22,few clouds
51,Taicheng,CN,38.731,113.228,25.54,55,96,6.62,overcast clouds
52,Husavik,IS,66.0449,-17.3389,40.91,84,99,14.32,overcast clouds
53,Vazante,BR,-17.9869,-46.9078,86.56,47,71,4.45,broken clouds
54,Byron Bay,AU,-28.65,153.6167,69.06,87,81,10.09,light rain
55,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,75,9.22,broken clouds
56,Sitka,US,57.0531,-135.33,31.89,86,75,9.22,light snow
57,Songjianghe,CN,42.1859,127.479,19.29,89,98,7.7,overcast clouds
58,Albany,US,42.6001,-73.9662,54.63,93,100,1.01,overcast clouds
59,Barrow,US,71.2906,-156.7887,1.42,85,90,11.5,overcast clouds
60,Mayo,US,38.8876,-76.5119,66.18,86,90,8.01,overcast clouds
61,San Quintin,MX,30.4833,-115.95,59.85,54,0,1.23,clear sky
62,Mumford,GH,5.2618,-0.759,82.96,72,87,10.22,overcast clouds
63,Faya,SA,18.3851,42.4509,60.91,32,29,6.35,scattered clouds
64,Champerico,GT,14.3,-91.9167,90.77,66,0,4.59,clear sky
65,Caravelas,BR,-17.7125,-39.2481,74.41,78,100,4.63,overcast clouds
66,Yellowknife,CA,62.456,-114.3525,-5.58,86,75,18.41,broken clouds
67,Qaanaaq,GL,77.484,-69.3632,-4.0,66,36,6.38,scattered clouds
68,East London,ZA,-33.0153,27.9116,68.94,94,20,10.36,light intensity drizzle
69,Iqaluit,CA,63.7506,-68.5145,-9.31,63,20,10.0,few clouds
70,San Cristobal,VE,7.7669,-72.225,75.38,54,81,3.65,broken clouds
71,Ostrovnoy,RU,68.0531,39.5131,25.61,92,100,19.48,light snow
72,Arlit,NE,18.7369,7.3853,73.53,8,81,4.38,broken clouds
73,Dubti,ET,11.7361,41.0853,81.1,36,3,13.98,clear sky
74,Alofi,NU,-19.0595,-169.9187,73.29,83,99,9.22,overcast clouds
75,Berlevag,NO,70.8578,29.0864,28.47,85,49,15.59,scattered clouds
76,Calabozo,VE,8.9242,-67.4293,94.59,32,87,5.44,overcast clouds
77,Phan Thiet,VN,10.9333,108.1,74.7,80,87,3.47,overcast clouds
78,Oneonta,US,42.4529,-75.0638,56.3,93,100,1.99,overcast clouds
79,Norman Wells,CA,65.282,-126.8329,-3.96,71,90,11.5,light snow
80,Mahebourg,MU,-20.4081,57.7,79.25,78,40,12.66,light rain
81,Lompoc,US,34.6391,-120.4579,60.13,74,1,9.22,clear sky
82,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,81,33,14.2,scattered clouds
83,Takoradi,GH,4.8845,-1.7554,83.23,69,82,9.6,broken clouds
84,Portland,US,45.5234,-122.6762,48.13,91,90,7.0,moderate rain
85,Santa Barbara,US,34.7333,-120.0343,53.13,87,1,0.0,clear sky
86,Luderitz,NA,-26.6481,15.1594,67.37,68,0,16.55,clear sky
87,Garowe,SO,8.4054,48.4845,78.87,50,14,19.22,few clouds
88,Saint-Philippe,RE,-21.3585,55.7679,78.39,77,51,10.47,broken clouds
89,Bredasdorp,ZA,-34.5322,20.0403,68.29,60,97,14.32,overcast clouds
90,Antofagasta,CL,-23.65,-70.4,71.22,52,2,9.15,clear sky
91,Hit,IQ,33.6416,42.8251,57.36,39,30,6.46,scattered clouds
92,Codrington,AU,-38.2667,141.9667,49.41,92,46,10.83,scattered clouds
93,Chiredzi,ZW,-21.05,31.6667,88.57,22,84,6.69,broken clouds
94,Tshikapa,CD,-6.4167,20.8,72.37,97,91,3.42,light rain
95,Los Llanos De Aridane,ES,28.6585,-17.9182,65.12,71,75,11.01,broken clouds
96,Tasiilaq,GL,65.6145,-37.6368,39.36,71,100,14.05,overcast clouds
97,Hilo,US,19.7297,-155.09,73.27,46,75,4.61,light rain
98,Komsomolskiy,UZ,40.4272,71.7189,35.02,55,0,6.91,haze
99,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,80,75,4.47,broken clouds
100,Sisimiut,GL,66.9395,-53.6735,16.36,79,99,4.7,overcast clouds
101,Mount Isa,AU,-20.7333,139.5,71.37,21,0,0.0,clear sky
102,Touros,BR,-5.1989,-35.4608,88.7,59,16,16.15,few clouds
103,Ahipara,NZ,-35.1667,173.1667,67.82,96,100,7.25,moderate rain
104,Kimbe,PG,-5.5502,150.1429,76.57,94,100,1.19,overcast clouds
105,Cape Town,ZA,-33.9258,18.4232,70.12,69,20,5.01,few clouds
106,Petropavlovka,RU,50.6114,105.3196,-1.53,89,44,4.23,scattered clouds
107,Upernavik,GL,72.7868,-56.1549,0.75,93,100,11.45,overcast clouds
108,Cidreira,BR,-30.1811,-50.2056,72.68,62,47,8.9,scattered clouds
109,Urdoma,RU,61.7533,48.5442,-3.8,100,51,4.14,broken clouds
110,Ulaangom,MN,49.9811,92.0667,-1.26,90,81,5.17,broken clouds
111,Shimoda,JP,34.6667,138.95,50.11,72,10,4.68,clear sky
112,Umm Kaddadah,SD,13.6017,26.6876,74.88,18,22,12.41,few clouds
113,Lethem,GY,3.3803,-59.7968,89.8,54,100,9.93,overcast clouds
114,College,US,64.8569,-147.8028,1.58,79,90,8.05,light snow
115,Atuona,PF,-9.8,-139.0333,78.58,74,34,17.56,scattered clouds
116,Moron,AR,-34.6534,-58.6198,89.02,46,23,1.99,few clouds
117,Henties Bay,NA,-22.116,14.2845,64.85,78,7,12.5,clear sky
118,Buraydah,SA,26.326,43.975,63.05,35,68,8.81,broken clouds
119,Saldanha,ZA,-33.0117,17.9442,64.42,75,51,7.16,broken clouds
120,Cabedelo,BR,-6.9811,-34.8339,88.47,61,16,13.56,few clouds
121,Bogande,BF,12.9714,-0.1436,89.62,13,3,6.15,clear sky
122,Lata,PT,40.1629,-8.3327,57.07,90,13,3.67,few clouds
123,Fortuna,US,40.5982,-124.1573,52.32,69,90,8.99,overcast clouds
124,Dutlwe,BW,-23.9833,23.9,76.37,53,95,11.5,light rain
125,Krasnogvardeyskiy,RU,57.3793,62.3195,11.37,91,5,4.36,clear sky
126,Maunabo,PR,18.0072,-65.8993,85.69,76,6,17.92,clear sky
127,Rawson,AR,-43.3002,-65.1023,82.44,33,74,9.46,broken clouds
128,Nibbar,TN,36.2941,8.7666,48.88,54,40,12.66,scattered clouds
129,Haines Junction,CA,60.7522,-137.5108,10.35,67,100,11.5,light snow
130,Beira,MZ,-19.8436,34.8389,82.49,83,20,18.41,few clouds
131,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,40,12.66,light rain
132,Sao Filipe,CV,14.8961,-24.4956,75.72,67,85,6.44,overcast clouds
133,Cabo San Lucas,MX,22.8909,-109.9124,76.51,74,20,2.3,few clouds
134,Cayenne,GF,4.9333,-52.3333,86.04,82,75,5.01,broken clouds
135,Santa Isabel,BR,-23.3156,-46.2214,88.9,18,22,8.63,few clouds
136,Butaritari,KI,3.0707,172.7902,82.99,76,63,15.59,broken clouds
137,Beringovskiy,RU,63.05,179.3167,-22.0,96,40,5.64,scattered clouds
138,Pundaguitan,PH,6.3711,126.1689,81.93,79,67,6.38,broken clouds
139,Muyezerskiy,RU,63.9333,31.65,14.67,93,86,6.08,light snow
140,Katete,UG,-0.7818,29.7544,66.67,78,99,3.06,overcast clouds
141,Wanning,CN,18.8003,110.3967,71.4,87,93,11.39,overcast clouds
142,Krasnorechenskiy,RU,44.6265,135.3532,17.56,92,100,4.16,overcast clouds
143,Hithadhoo,MV,-0.6,73.0833,80.44,80,63,11.56,broken clouds
144,Nova Olimpia,BR,-14.7972,-57.2881,88.12,61,93,3.85,overcast clouds
145,Shingu,JP,33.7333,135.9833,51.15,75,93,5.73,overcast clouds
146,Mar Del Plata,AR,-38.0023,-57.5575,73.42,91,75,20.0,broken clouds
147,Cheb,CZ,50.0796,12.3739,33.46,92,84,5.19,broken clouds
148,Saint-Francois,FR,46.4154,3.9054,38.64,87,90,4.61,overcast clouds
149,Lensk,RU,60.7253,114.9278,-24.54,99,41,4.21,scattered clouds
150,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,67,0,6.91,clear sky
151,Nhulunbuy,AU,-12.2333,136.7667,81.21,83,65,0.0,broken clouds
152,Bucerias,MX,20.75,-105.3333,71.58,64,75,4.61,broken clouds
153,Mount Gambier,AU,-37.8333,140.7667,53.51,82,66,6.91,broken clouds
154,Marsh Harbour,BS,26.5412,-77.0636,77.76,69,41,13.13,scattered clouds
155,Nikolskoye,RU,59.7035,30.7861,23.4,92,100,10.0,overcast clouds
156,Oktyabrskoye,RU,43.0645,44.7417,33.94,100,90,4.47,fog
157,Cabra,ES,37.4725,-4.4421,67.44,64,1,6.29,clear sky
158,Olafsvik,IS,64.8945,-23.7142,40.15,81,100,20.98,overcast clouds
159,San Patricio,US,28.017,-97.5169,66.61,30,37,24.79,scattered clouds
160,Pitea,SE,65.3172,21.4794,30.29,98,100,2.19,light snow
161,Lufilufi,WS,-13.8745,-171.5986,74.98,77,42,12.19,light rain
162,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.25,98,92,0.92,overcast clouds
163,Dikson,RU,73.5069,80.5464,-14.3,83,100,5.91,overcast clouds
164,Khatanga,RU,71.9667,102.5,-41.3,99,63,5.57,broken clouds
165,Casper,US,42.8666,-106.3131,27.5,65,1,23.0,clear sky
166,Tuatapere,NZ,-46.1333,167.6833,44.82,78,60,4.45,broken clouds
167,Coahuayana,MX,18.7333,-103.6833,83.68,37,93,3.2,overcast clouds
168,Ilulissat,GL,69.2167,-51.1,24.82,39,40,5.75,scattered clouds
169,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,69,0,12.66,clear sky
170,Severo-Kurilsk,RU,50.6789,156.125,34.63,90,100,25.59,light rain
171,Raja Sansi,IN,31.7192,74.7978,57.06,71,40,0.0,haze
172,Asosa,ET,10.0667,34.5333,69.87,21,9,6.38,clear sky
173,La Ronge,CA,55.1001,-105.2842,10.65,85,75,3.44,broken clouds
174,Quelimane,MZ,-17.8786,36.8883,85.95,62,20,17.27,few clouds
175,Usinsk,RU,65.9939,57.5281,14.41,92,100,15.37,overcast clouds
176,Yar-Sale,RU,66.8333,70.8333,-5.6,98,32,7.87,scattered clouds
177,Carnarvon,AU,-24.8667,113.6333,69.87,73,40,19.57,scattered clouds
178,Raudeberg,NO,61.9875,5.1352,38.07,69,7,4.0,clear sky
179,Katima Mulilo,NA,-17.5,24.2667,82.72,38,89,6.08,overcast clouds
180,Tukrah,LY,32.5341,20.5791,61.56,53,0,21.41,clear sky
181,Santiago,CL,-33.4569,-70.6483,79.18,35,90,3.44,haze
182,Richards Bay,ZA,-28.783,32.0377,78.66,80,41,12.21,scattered clouds
183,Karratha,AU,-20.7377,116.8463,95.59,20,49,24.47,scattered clouds
184,Tamandare,BR,-8.7597,-35.1047,83.79,65,40,11.32,scattered clouds
185,Fare,PF,-16.7,-151.0167,80.28,73,97,11.39,light rain
186,Gat,IL,31.61,34.7642,67.41,43,5,3.98,clear sky
187,Nerang,AU,-27.9833,153.3333,70.75,88,6,1.01,clear sky
188,Rundu,NA,-17.9333,19.7667,78.75,46,65,4.34,broken clouds
189,Tornio,FI,65.8481,24.1466,26.62,97,100,7.18,overcast clouds
190,Tupik,RU,54.4253,119.9327,-4.36,98,98,3.67,overcast clouds
191,Danilov,RU,58.1908,40.1717,6.78,91,47,7.31,scattered clouds
192,Grand Gaube,MU,-20.0064,57.6608,79.38,71,99,8.99,light rain
193,Kismayo,SO,-0.3582,42.5454,80.47,78,10,16.73,clear sky
194,Sidi Bin Nur,TN,35.5333,10.9167,57.11,50,46,20.49,scattered clouds
195,Namatanai,PG,-3.6667,152.4333,81.07,83,99,9.28,light rain
196,Maceio,BR,-9.6658,-35.7353,89.04,58,75,17.27,broken clouds
197,Adrar,MR,20.5022,-10.0711,79.65,10,54,10.47,broken clouds
198,Zarinsk,RU,53.7074,84.9493,3.34,93,100,4.83,overcast clouds
199,Hirara,JP,24.8,125.2833,72.72,59,18,11.79,few clouds
200,Faanui,PF,-16.4833,-151.75,79.86,75,94,12.91,overcast clouds
201,Anchorage,US,61.2181,-149.9003,16.25,60,90,9.22,overcast clouds
202,Tautira,PF,-17.7333,-149.15,78.82,70,48,10.38,scattered clouds
203,Banff,CA,51.1762,-115.5698,29.43,93,100,5.75,light snow
204,Deputatskiy,RU,69.3,139.9,-21.14,100,100,1.39,overcast clouds
205,Northam,GB,51.0333,-4.2167,54.43,97,99,16.04,overcast clouds
206,Riyadh,SA,24.6877,46.7219,64.54,32,45,6.33,scattered clouds
207,Bowen,AU,-20.0167,148.2333,73.62,79,60,12.77,broken clouds
208,Hamilton,US,39.1834,-84.5333,55.47,85,88,4.0,overcast clouds
209,Tiksi,RU,71.6872,128.8694,-14.66,98,99,5.28,overcast clouds
210,Aklavik,CA,68.2191,-135.0107,1.4,78,90,16.11,light snow
211,Ulladulla,AU,-35.35,150.4667,57.09,88,94,10.54,overcast clouds
212,Bitung,ID,1.4451,125.1824,81.45,86,85,7.81,overcast clouds
213,Padang,ID,-0.9492,100.3543,75.25,88,99,4.12,light rain
214,Artigas,UY,-30.4,-56.4667,91.94,22,30,2.98,scattered clouds
215,Qianan,CN,44.9932,124.0581,12.54,75,6,14.54,clear sky
216,Margate,GB,51.3813,1.3862,45.3,78,100,1.99,light rain
217,Kota Kinabalu,MY,5.9749,116.0724,76.98,94,20,2.3,few clouds
218,Loa Janan,ID,-0.583,117.095,74.79,97,100,2.73,light rain
219,Russell,US,32.3502,-85.1999,75.96,84,90,10.36,overcast clouds
220,Kaeo,NZ,-35.1,173.7833,67.32,96,100,8.25,overcast clouds
221,Kilimatinde,TZ,-5.85,34.95,77.22,46,92,7.92,overcast clouds
222,Feldbach,AT,46.9531,15.8883,32.99,96,95,3.04,overcast clouds
223,Kruisfontein,ZA,-34.0033,24.7314,65.88,71,73,7.02,broken clouds
224,Bandarbeyla,SO,9.4942,50.8122,77.61,81,6,22.7,clear sky
